T/Tc,rho/rhoc
0.74,0.134119
0.76,0.159163
0.78,0.18880
0.80,0.21815
0.82,0.25045
0.84,0.28431
0.86,0.3169
0.88,0.36164
0.90,0.4067
0.92,0.46840
0.94,0.5366
0.96,0.6209
0.98,0.72564
0.74,2.06838
0.76,2.02631
0.78,1.98186
0.80,1.93569
0.82,1.88705
0.84,1.83573
0.86,1.79207
0.88,1.73066
0.90,1.6667
0.92,1.59305
0.94,1.5099
0.96,1.41222
0.98,1.29016
