"velocity:0","velocity:1","velocity:2","Points:0","Points:1","Points:2"
0.1107039,-0.001503553,0,127.5,32.13,0
0.111353,-0.001494773,0,127.5,32.385,0
0.1120021,-0.001485993,0,127.5,32.64,0
0.1126512,-0.001477213,0,127.5,32.895,0
0.1132901,-0.001468242,0,127.5,33.15,0
0.1139219,-0.001459136,0,127.5,33.405,0
0.1145536,-0.00145003,0,127.5,33.66,0
0.1151854,-0.001440924,0,127.5,33.915,0
0.1158053,-0.001431604,0,127.5,34.17,0
0.1164192,-0.001422177,0,127.5,34.425,0
0.1170331,-0.00141275,0,127.5,34.68,0
0.117647,-0.001403322,0,127.5,34.935,0
0.1182475,-0.001393661,0,127.5,35.19,0
0.1188435,-0.001383919,0,127.5,35.445,0
0.1194394,-0.001374177,0,127.5,35.7,0
0.1200353,-0.001364436,0,127.5,35.955,0
0.120616,-0.001354442,0,127.5,36.21,0
0.1211935,-0.001344394,0,127.5,36.465,0
0.1217709,-0.001334346,0,127.5,36.72,0
0.1223484,-0.001324299,0,127.5,36.975,0
0.1229088,-0.001313981,0,127.5,37.23,0
0.1234674,-0.001303634,0,127.5,37.485,0
0.124026,-0.001293288,0,127.5,37.74,0
0.1245845,-0.001282941,0,127.5,37.995,0
0.1251245,-0.001272307,0,127.5,38.25,0
0.1256641,-0.001261668,0,127.5,38.505,0
0.1262037,-0.001251029,0,127.5,38.76,0
0.1267421,-0.001240373,0,127.5,39.015,0
0.127262,-0.001229451,0,127.5,39.27,0
0.127782,-0.001218529,0,127.5,39.525,0
0.1283019,-0.001207607,0,127.5,39.78,0
0.1288192,-0.001196647,0,127.5,40.035,0
0.1293193,-0.00118545,0,127.5,40.29,0
0.1298195,-0.001174253,0,127.5,40.545,0
0.1303197,-0.001163056,0,127.5,40.8,0
0.1308156,-0.001151802,0,127.5,41.055,0
0.1312959,-0.001140338,0,127.5,41.31,0
0.1317762,-0.001128874,0,127.5,41.565,0
0.1322565,-0.00111741,0,127.5,41.82,0
0.1327307,-0.001105871,0,127.5,42.075,0
0.1331905,-0.001094152,0,127.5,42.33,0
0.1336503,-0.001082433,0,127.5,42.585,0
0.13411,-0.001070714,0,127.5,42.84,0
0.1345621,-0.001058902,0,127.5,43.095,0
0.1350012,-0.001046935,0,127.5,43.35,0
0.1354403,-0.001034968,0,127.5,43.605,0
0.1358794,-0.001023,0,127.5,43.86,0
0.1363092,-0.001010926,0,127.5,44.115,0
0.1367275,-0.0009987228,0,127.5,44.37,0
0.1371458,-0.0009865191,0,127.5,44.625,0
0.1375641,-0.0009743153,0,127.5,44.88,0
0.1379712,-0.0009619926,0,127.5,45.135,0
0.1383682,-0.0009495637,0,127.5,45.39,0
0.1387653,-0.0009371349,0,127.5,45.645,0
0.1391623,-0.000924706,0,127.5,45.9,0
0.1395464,-0.0009121455,0,127.5,46.155,0
0.1399221,-0.0008994997,0,127.5,46.41,0
0.1402979,-0.0008868539,0,127.5,46.665,0
0.1406736,-0.0008742084,0,127.5,46.92,0
0.1410345,-0.0008614216,0,127.5,47.175,0
0.1413886,-0.0008485703,0,127.5,47.43,0
0.1417426,-0.000835719,0,127.5,47.685,0
0.1420967,-0.0008228679,0,127.5,47.94,0
0.1424341,-0.0008098701,0,127.5,48.195,0
0.1427664,-0.0007968271,0,127.5,48.45,0
0.1430986,-0.0007837842,0,127.5,48.705,0
0.1434309,-0.0007707415,0,127.5,48.96,0
0.1437444,-0.0007575445,0,127.5,49.215,0
0.1440545,-0.0007443189,0,127.5,49.47,0
0.1443646,-0.0007310935,0,127.5,49.725,0
0.1446747,-0.0007178678,0,127.5,49.98,0
0.1449644,-0.0007044865,0,127.5,50.235,0
0.1452525,-0.0006910919,0,127.5,50.49,0
0.1455405,-0.0006776976,0,127.5,50.745,0
0.1458285,-0.000664303,0,127.5,51,0
0.146094,-0.0006507502,0,127.5,51.255,0
0.1463594,-0.0006371976,0,127.5,51.51,0
0.1466249,-0.0006236448,0,127.5,51.765,0
0.1468886,-0.0006100805,0,127.5,52.02,0
0.1471316,-0.000596381,0,127.5,52.275,0
0.1473746,-0.0005826816,0,127.5,52.53,0
0.1476176,-0.0005689821,0,127.5,52.785,0
0.1478571,-0.0005552619,0,127.5,53.04,0
0.1480775,-0.000541431,0,127.5,53.295,0
0.148298,-0.0005276,0,127.5,53.55,0
0.1485184,-0.0005137689,0,127.5,53.805,0
0.1487334,-0.0004999095,0,127.5,54.06,0
0.1489308,-0.000485958,0,127.5,54.315,0
0.1491282,-0.0004720064,0,127.5,54.57,0
0.1493256,-0.0004580548,0,127.5,54.825,0
0.1495158,-0.0004440695,0,127.5,55.08,0
0.1496905,-0.0004300109,0,127.5,55.335,0
0.1498652,-0.000415952,0,127.5,55.59,0
0.1500398,-0.0004018931,0,127.5,55.845,0
0.1502053,-0.0003877975,0,127.5,56.1,0
0.1503567,-0.0003736443,0,127.5,56.355,0
0.150508,-0.0003594912,0,127.5,56.61,0
0.1506594,-0.000345338,0,127.5,56.865,0
0.1507999,-0.0003311469,0,127.5,57.12,0
0.1509283,-0.0003169128,0,127.5,57.375,0
0.1510567,-0.0003026786,0,127.5,57.63,0
0.1511851,-0.0002884446,0,127.5,57.885,0
0.1513007,-0.0002741733,0,127.5,58.14,0
0.1514057,-0.0002598714,0,127.5,58.395,0
0.1515108,-0.0002455695,0,127.5,58.65,0
0.1516159,-0.0002312678,0,127.5,58.905,0
0.1517063,-0.0002169319,0,127.5,59.16,0
0.151788,-0.0002025758,0,127.5,59.415,0
0.1518697,-0.0001882199,0,127.5,59.67,0
0.1519515,-0.0001738637,0,127.5,59.925,0
0.1520168,-0.0001594789,0,127.5,60.18,0
0.1520753,-0.000145082,0,127.5,60.435,0
0.1521339,-0.0001306854,0,127.5,60.69,0
0.1521924,-0.0001162886,0,127.5,60.945,0
0.1522325,-0.0001018703,0,127.5,61.2,0
0.1522676,-8.744608e-05,0,127.5,61.455,0
0.1523026,-7.302211e-05,0,127.5,61.71,0
0.1523377,-5.859792e-05,0,127.5,61.965,0
0.1523526,-4.416209e-05,0,127.5,62.22,0
0.1523643,-2.972462e-05,0,127.5,62.475,0
0.1523761,-1.528693e-05,0,127.5,62.73,0
0.1523878,-8.492377e-07,0,127.5,62.985,0
0.1523775,1.358845e-05,0,127.5,63.24,0
0.1523657,2.802592e-05,0,127.5,63.495,0
0.152354,4.246361e-05,0,127.5,63.75,0
0.1523418,5.690082e-05,0,127.5,64.005,0
0.1523067,7.132522e-05,0,127.5,64.26,0
0.1522717,8.574919e-05,0,127.5,64.515,0
0.1522366,0.0001001732,0,127.5,64.77,0
0.1521993,0.0001145949,0,127.5,65.025,0
0.1521407,0.0001289915,0,127.5,65.28,0
0.1520822,0.0001433886,0,127.5,65.535,0
0.1520237,0.0001577852,0,127.5,65.79,0
0.1519611,0.0001721746,0,127.5,66.045,0
0.1518793,0.000186531,0,127.5,66.3,0
0.1517976,0.0002008869,0,127.5,66.555,0
0.1517159,0.0002152428,0,127.5,66.81,0
0.1516282,0.0002295853,0,127.5,67.065,0
0.1515232,0.000243887,0,127.5,67.32,0
0.1514181,0.0002581887,0,127.5,67.575,0
0.151313,0.0002724908,0,127.5,67.83,0
0.1512002,0.0002867699,0,127.5,68.085,0
0.1510718,0.0003010038,0,127.5,68.34,0
0.1509434,0.0003152382,0,127.5,68.595,0
0.150815,0.0003294722,0,127.5,68.85,0
0.1506772,0.0003436732,0,127.5,69.105,0
0.1505258,0.0003578262,0,127.5,69.36,0
0.1503745,0.0003719791,0,127.5,69.615,0
0.1502232,0.0003861325,0,127.5,69.87,0
0.1500604,0.0004002392,0,127.5,70.125,0
0.1498857,0.0004142979,0,127.5,70.38,0
0.149711,0.000428357,0,127.5,70.635,0
0.1495364,0.0004424156,0,127.5,70.89,0
0.1493488,0.0004564133,0,127.5,71.145,0
0.1491514,0.0004703651,0,127.5,71.4,0
0.148954,0.0004843165,0,127.5,71.655,0
0.1487567,0.0004982684,0,127.5,71.91,0
0.1485444,0.0005121418,0,127.5,72.165,0
0.1483239,0.0005259726,0,127.5,72.42,0
0.1481035,0.0005398039,0,127.5,72.675,0
0.147883,0.0005536348,0,127.5,72.93,0
0.1476462,0.0005673702,0,127.5,73.185,0
0.1474032,0.00058107,0,127.5,73.44,0
0.1471602,0.0005947693,0,127.5,73.695,0
0.1469172,0.0006084687,0,127.5,73.95,0
0.1466561,0.0006220504,0,127.5,74.205,0
0.1463906,0.000635603,0,127.5,74.46,0
0.1461252,0.0006491556,0,127.5,74.715,0
0.1458597,0.0006627086,0,127.5,74.97,0
0.1455744,0.0006761216,0,127.5,75.225,0
0.1452863,0.0006895164,0,127.5,75.48,0
0.1449983,0.0007029107,0,127.5,75.735,0
0.1447103,0.0007163051,0,127.5,75.99,0
0.1444011,0.0007295376,0,127.5,76.245,0
0.144091,0.000742763,0,127.5,76.5,0
0.1437809,0.0007559884,0,127.5,76.755,0
