T/Tc,rho/rhoc 
0.86,0.2666509
0.88,0.3103882
0.90,0.3608489
0.92,0.4199587
0.94,0.4908738
0.96,0.5796353
0.98,0.7012925
0.985,0.7416473
0.99,0.7898388
0.995,0.8526932
0.86,1.5936406
0.88,1.5528740
0.90,1.5089307
0.92,1.4605102
0.94,1.4054760
0.96,1.3394297
0.98,1.2502369
0.985,1.2201154
0.99,1.1832668
0.995,1.1330667
