T/Tc,rho/rhoc
0.80,1.9620894
0.82,1.9098397
0.84,1.8553501
0.86,1.7979252
0.88,1.7360743
0.90,1.6690096
0.92,1.5953651
0.94,1.5123735
0.96,1.4150580
0.98,1.2903668
0.80,0.2085901
0.82,0.2437942
0.84,0.2747443
0.86,0.3155257
0.88,0.3606302
0.90,0.4110223
0.92,0.4681793
0.94,0.5347730
0.96,0.6159356
0.98,0.7248667
